Old File ID,New File ID,Label
Benign(360).png,492.png,1
Malignant(109).png,678.png,2
Benign(299).png,431.png,1
Benign(423).png,555.png,1
Benign(71).png,203.png,1
Malignant(210).png,779.png,2
Benign(401).png,533.png,1
Benign(382).png,514.png,1
Benign(287).png,419.png,1
Malignant(131).png,700.png,2
Benign(141).png,273.png,1
Normal(34).png,33.png,0
Malignant(165).png,734.png,2
Normal(116).png,115.png,0
Normal(63).png,62.png,0
Benign(104).png,236.png,1
Normal(104).png,103.png,0
Normal(11).png,10.png,0
Benign(274).png,406.png,1
Benign(192).png,324.png,1
Benign(359).png,491.png,1
Benign(50).png,182.png,1
Malignant(63).png,632.png,2
Benign(54).png,186.png,1
Benign(84).png,216.png,1
Benign(228).png,360.png,1
Normal(35).png,34.png,0
Malignant(30).png,599.png,2
Malignant(159).png,728.png,2
Normal(9).png,8.png,0
Benign(296).png,428.png,1
Benign(105).png,237.png,1
Benign(250).png,382.png,1
Malignant(88).png,657.png,2
Benign(117).png,249.png,1
Benign(407).png,539.png,1
Normal(24).png,23.png,0
Malignant(84).png,653.png,2
Benign(327).png,459.png,1
Benign(95).png,227.png,1
Benign(245).png,377.png,1
Benign(128).png,260.png,1
Malignant(83).png,652.png,2
Benign(319).png,451.png,1
Malignant(62).png,631.png,2
Normal(132).png,131.png,0
Benign(33).png,165.png,1
Benign(167).png,299.png,1
Benign(18).png,150.png,1
Benign(292).png,424.png,1
Normal(129).png,128.png,0
Benign(270).png,402.png,1
Benign(425).png,557.png,1
Benign(116).png,248.png,1
Benign(39).png,171.png,1
Benign(211).png,343.png,1
Benign(41).png,173.png,1
Benign(283).png,415.png,1
Malignant(128).png,697.png,2
Benign(196).png,328.png,1
Malignant(182).png,751.png,2
Benign(153).png,285.png,1
Benign(387).png,519.png,1
Malignant(47).png,616.png,2
Benign(246).png,378.png,1
Malignant(103).png,672.png,2
Malignant(66).png,635.png,2
Benign(417).png,549.png,1
Benign(126).png,258.png,1
Normal(83).png,82.png,0
Normal(114).png,113.png,0
Normal(1).png,0.png,0
Malignant(1).png,570.png,2
Benign(376).png,508.png,1
Normal(50).png,49.png,0
Benign(164).png,296.png,1
Normal(61).png,60.png,0
Benign(397).png,529.png,1
Malignant(68).png,637.png,2
Malignant(136).png,705.png,2
Malignant(40).png,609.png,2
Benign(16).png,148.png,1
Malignant(199).png,768.png,2
Benign(11).png,143.png,1
Benign(166).png,298.png,1
Normal(18).png,17.png,0
Malignant(157).png,726.png,2
Normal(17).png,16.png,0
Normal(7).png,6.png,0
Benign(277).png,409.png,1
Benign(38).png,170.png,1
Benign(340).png,472.png,1
Malignant(190).png,759.png,2
Benign(92).png,224.png,1
Benign(367).png,499.png,1
Benign(13).png,145.png,1
Benign(189).png,321.png,1
Malignant(185).png,754.png,2
Benign(173).png,305.png,1
Benign(120).png,252.png,1
Benign(282).png,414.png,1
Benign(263).png,395.png,1
Normal(122).png,121.png,0
Malignant(115).png,684.png,2
Benign(102).png,234.png,1
Benign(350).png,482.png,1
Malignant(158).png,727.png,2
Malignant(156).png,725.png,2
Malignant(67).png,636.png,2
Benign(49).png,181.png,1
Normal(72).png,71.png,0
Normal(93).png,92.png,0
Benign(249).png,381.png,1
Normal(8).png,7.png,0
Malignant(35).png,604.png,2
Malignant(12).png,581.png,2
Normal(125).png,124.png,0
Malignant(85).png,654.png,2
Benign(58).png,190.png,1
Malignant(189).png,758.png,2
Benign(355).png,487.png,1
Benign(30).png,162.png,1
Benign(357).png,489.png,1
Benign(352).png,484.png,1
Benign(139).png,271.png,1
Benign(94).png,226.png,1
Normal(2).png,1.png,0
Malignant(99).png,668.png,2
Normal(76).png,75.png,0
Benign(316).png,448.png,1
Benign(206).png,338.png,1
Malignant(121).png,690.png,2
Benign(291).png,423.png,1
Benign(225).png,357.png,1
Benign(430).png,562.png,1
Benign(337).png,469.png,1
Benign(428).png,560.png,1
Malignant(119).png,688.png,2
Benign(177).png,309.png,1
Normal(84).png,83.png,0
Malignant(170).png,739.png,2
Malignant(76).png,645.png,2
Malignant(163).png,732.png,2
Benign(108).png,240.png,1
Benign(23).png,155.png,1
Malignant(141).png,710.png,2
Benign(364).png,496.png,1
Benign(230).png,362.png,1
Benign(61).png,193.png,1
Benign(129).png,261.png,1
Benign(237).png,369.png,1
Benign(174).png,306.png,1
Malignant(14).png,583.png,2
Malignant(126).png,695.png,2
Malignant(184).png,753.png,2
